location,player,player_id,position,shot_aerial_won,shot_first_time,shot_statsbomb_xg,team,under_pressure,shot_open_goal,shot_follows_dribble,goalkeeper_success_out,half_end_early_video_end,goal,shot_body_part_Head,shot_body_part_Left Foot,shot_body_part_Other,shot_body_part_Right Foot,shot_technique_Backheel,shot_technique_Diving Header,shot_technique_Half Volley,shot_technique_Lob,shot_technique_Normal,shot_technique_Overhead Kick,shot_technique_Volley,shot_type_Corner,shot_type_Free Kick,shot_type_Open Play,shot_type_Penalty,x,y,distance,angle,player_name_norm,sofifa_club,sofifa_position,sofifa_id,match_method,shooting,attacking_heading_accuracy,preferred_foot,weak_foot,statsbomb_name,statsbomb_name_norm,short_name,long_name,player_positions,club_name
"[109.7, 35.7]",Francesc Fàbregas i Soler,3478.0,Right Defensive Midfield,1,0,0.070368364,Chelsea,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,109.7,35.7,9.725439900076502,39.096314845505766,francesc fabregas i soler,Chelsea,{'CDM'},162895,name,78.0,74,Right,3,,,,,,
"[88.5, 46.8]",Branislav Ivanović,5594.0,Right Back,0,0,0.02306685,Chelsea,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,88.5,46.8,28.162027736830314,14.50773338495362,branislav ivanovic,Chelsea,{'RB'},178372,name,61.0,87,Right,3,,,,,,
"[97.0, 39.6]",Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,0,0,0.051289365,Chelsea,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,97.0,39.6,20.1278718447828,20.609131642925487,pedro eliezer rodriguez ledesma,Chelsea,{'RW'},189505,name,76.0,55,Right,5,,,,,,
"[106.2, 50.0]",Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,0,1,0.047126833,Chelsea,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,106.2,50.0,14.766706640276974,23.35865113969507,pedro eliezer rodriguez ledesma,Chelsea,{'RW'},189505,name,76.0,55,Right,5,,,,,,
"[95.2, 44.9]",Alexis Alejandro Sánchez Sánchez,3385.0,Left Wing,0,0,0.07817649,Arsenal,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,95.2,44.9,22.096090717590748,18.49611670239018,alexis alejandro sanchez sanchez,Arsenal,{'LW'},184941,name,83.0,60,Right,3,,,,,,
"[83.7, 41.5]",Nemanja Matić,3381.0,Left Defensive Midfield,0,0,0.009548494,Chelsea,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,83.7,41.5,31.788080018302463,13.125738572401188,nemanja matic,Chelsea,{'CDM'},191202,name,70.0,77,Left,3,,,,,,
"[112.3, 42.5]",Kurt Happy Zouma,3456.0,Right Center Back,0,0,0.19744614,Chelsea,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,112.3,42.5,7.064667808892359,53.48486798451993,kurt happy zouma,Chelsea,{'CB'},204311,name,50.0,77,Right,3,,,,,,
"[98.5, 27.4]",Eden Hazard,3621.0,Left Wing,0,0,0.030608306,Chelsea,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,98.5,27.4,21.6475,16.83101068298542,eden hazard,Chelsea,{'LW'},183277,name,82.0,57,Right,4,,,,,,
"[112.9, 47.6]",Alexis Alejandro Sánchez Sánchez,3385.0,Left Wing,0,1,0.097416475,Arsenal,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,112.9,47.6,8.962519525780678,34.193636074701985,alexis alejandro sanchez sanchez,Arsenal,{'LW'},184941,name,83.0,60,Right,3,,,,,,
"[100.0, 19.7]",Theo Walcott,3668.0,Center Forward,0,0,0.011941639,Arsenal,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,100.0,19.7,24.57610679094637,12.237998512727245,theo walcott,Arsenal,"{'CF', 'ST'}",164859,name,77.0,53,Right,3,,,,,,
"[102.0, 52.6]",Eden Hazard,3621.0,Left Wing,0,0,0.04208766,Chelsea,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,102.0,52.6,19.04643273686703,18.26253056495453,eden hazard,Chelsea,{'LW'},183277,name,82.0,57,Right,4,,,,,,
"[109.6, 33.8]",Diego da Silva Costa,5198.0,Center Forward,0,1,0.08795297,Chelsea,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,109.6,33.8,10.51584043241434,34.42666902456483,diego da silva costa,Chelsea,"{'CF', 'ST'}",179844,name,83.0,82,Right,4,,,,,,
"[96.7, 35.3]",Francesc Fàbregas i Soler,3478.0,Right Defensive Midfield,0,0,0.03997012,Chelsea,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,96.7,35.3,20.775229992710077,19.638531384906923,francesc fabregas i soler,Chelsea,{'CDM'},162895,name,78.0,74,Right,3,,,,,,
"[96.1, 41.9]",Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,0,0,0.070070244,Chelsea,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,96.1,41.9,20.97476772815376,19.742157847113265,pedro eliezer rodriguez ledesma,Chelsea,{'RW'},189505,name,76.0,55,Right,5,,,,,,
"[100.8, 29.4]",Theo Walcott,3668.0,Left Wing,0,1,0.025204938,Arsenal,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,100.8,29.4,19.063580461183044,19.358180986126527,theo walcott,Arsenal,{'LW'},164859,name,77.0,53,Right,3,,,,,,
"[94.9, 33.8]",Nemanja Matić,3381.0,Left Defensive Midfield,0,1,0.03308965,Chelsea,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,94.9,33.8,22.585931600224058,17.934096202381127,nemanja matic,Chelsea,{'CDM'},191202,name,70.0,77,Left,3,,,,,,
"[97.9, 41.4]",Eden Hazard,3621.0,Left Wing,0,0,0.08022562,Chelsea,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,97.9,41.4,19.374080784646264,21.358844659346,eden hazard,Chelsea,{'LW'},183277,name,82.0,57,Right,4,,,,,,
"[107.1, 40.7]",Loïc Rémy,6623.0,Center Forward,0,0,0.09379961,Chelsea,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,107.1,40.7,11.303171291721638,35.84646748245975,loic remy,Chelsea,"{'CF', 'ST'}",179527,team+token_name+position,80.0,81,Right,3,,,,,,
"[103.7, 33.6]",Eden Hazard,3621.0,Left Wing,0,0,0.14941259,Chelsea,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,103.7,33.6,15.264747172816197,25.425483028557764,eden hazard,Chelsea,{'LW'},183277,name,82.0,57,Right,4,,,,,,
"[115.1, 44.4]",Theo Walcott,3668.0,Left Wing,0,0,0.33881876,Arsenal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,115.1,44.4,5.689486466281473,58.84339355882922,theo walcott,Arsenal,{'LW'},164859,name,77.0,53,Right,3,,,,,,
"[109.7, 41.5]",Aaron Ramsey,3517.0,Right Defensive Midfield,0,1,0.1675297,Arsenal,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,109.7,41.5,9.102240452218346,43.52646300910845,aaron ramsey,Arsenal,{'CDM'},186561,name,78.0,58,Right,3,,,,,,
"[102.2, 32.6]",Ramires Santos do Nascimento,28100.0,Center Attacking Midfield,0,0,0.07621928,Chelsea,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,102.2,32.6,16.797164195184855,22.98767243231484,ramires santos do nascimento,Chelsea,{'CAM'},184943,name,69.0,75,Right,3,,,,,,
"[88.4, 53.9]",Branislav Ivanović,5594.0,Right Back,0,0,0.0061072973,Chelsea,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,88.4,53.9,30.06853380196646,12.801903862756122,branislav ivanovic,Chelsea,{'RB'},178372,name,61.0,87,Right,3,,,,,,
"[98.1, 54.3]",Scott Sinclair,11117.0,Right Wing,0,0,0.04153543,Aston Villa,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,98.1,54.3,22.69240911075773,15.624824105912731,scott sinclair,Aston Villa,{'RW'},169214,name,72.0,69,Right,2,,,,,,
"[108.3, 40.2]",Olivier Giroud,3604.0,Center Forward,0,0,0.7835,Arsenal,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,108.3,40.2,10.238911380122396,39.33599082562815,olivier giroud,Arsenal,"{'CF', 'ST'}",178509,name,82.0,85,Left,3,,,,,,
"[108.6, 43.4]",Olivier Giroud,3604.0,Center Forward,0,0,0.083645426,Arsenal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,108.6,43.4,10.38521665638229,37.704646792301375,olivier giroud,Arsenal,"{'CF', 'ST'}",178509,name,82.0,85,Left,3,,,,,,
"[111.6, 33.8]",Laurent Koscielny,3394.0,Left Center Back,0,1,0.057764526,Arsenal,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,111.6,33.8,9.044080937276057,38.18792644677418,laurent koscielny,Arsenal,{'CB'},165229,name,40.0,81,Right,3,,,,,,
"[108.0, 26.3]",Leandro Bacuna,9533.0,Left Back,0,1,0.068181805,Aston Villa,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,108.0,26.3,15.67979671424346,18.29579297083012,leandro bacuna,Aston Villa,{'LB'},198133,team+token_name+position,71.0,63,Right,3,,,,,,
"[105.6, 22.7]",Jordan Ayew,3450.0,Left Wing,0,0,0.024126757,Aston Villa,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,105.6,22.7,19.36483991671504,14.30906835263456,jordan ayew,Aston Villa,{'LW'},197756,team+token_name+position,76.0,77,Right,3,,,,,,
"[92.0, 35.3]",Idrissa Gana Gueye,3436.0,Left Center Midfield,0,0,0.031866387,Aston Villa,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,92.0,35.3,24.823578005597824,16.567978151280798,idrissa gana gueye,Aston Villa,{'CM'},193474,name,60.0,66,Right,3,,,,,,
"[105.7, 36.9]",Aaron Ramsey,3517.0,Left Center Midfield,0,1,0.71904194,Arsenal,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,105.7,36.9,12.786941825550004,31.3899304476518,aaron ramsey,Arsenal,{'CM'},186561,name,78.0,58,Right,3,,,,,,
"[96.9, 40.2]",Aaron Ramsey,3517.0,Left Center Midfield,0,1,0.037833,Arsenal,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,96.9,40.2,20.21321489150105,20.525987356777318,aaron ramsey,Arsenal,{'CM'},186561,name,78.0,58,Right,3,,,,,,
"[115.6, 46.6]",Alan Hutton,9642.0,Right Back,0,0,0.10365055,Aston Villa,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,115.6,46.6,6.804013521444535,40.58407944329513,alan hutton,Aston Villa,{'RB'},139533,name,48.0,60,Right,3,,,,,,
"[107.9, 37.6]",Rudy Gestede,19362.0,Center Forward,1,0,0.06206297,Aston Villa,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,107.9,37.6,10.782242635463172,36.99611274227794,rudy gestede,Aston Villa,"{'CF', 'ST'}",187942,name,73.0,84,Right,3,,,,,,
"[97.3, 53.8]",Jordan Veretout,7153.0,Right Center Midfield,0,0,0.02500054,Aston Villa,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,97.3,53.8,23.06754876986282,15.657912667002948,jordan veretout,Aston Villa,{'CM'},201519,name,73.0,53,Right,3,,,,,,
"[112.5, 44.6]",Rudy Gestede,19362.0,Center Forward,1,0,0.091126874,Aston Villa,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,112.5,44.6,7.6390121252685566,46.89605214340273,rudy gestede,Aston Villa,"{'CF', 'ST'}",187942,name,73.0,84,Right,3,,,,,,
"[93.5, 50.2]",Idrissa Gana Gueye,3436.0,Left Center Midfield,0,1,0.022351462,Aston Villa,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,93.5,50.2,24.755384389057667,15.809727954698694,idrissa gana gueye,Aston Villa,{'CM'},193474,name,60.0,66,Right,3,,,,,,
"[90.9, 41.6]",Carlos Alberto Sánchez Moreno,5685.0,Center Defensive Midfield,0,0,0.022984756,Aston Villa,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,90.9,41.6,25.498794211687727,16.314439884596126,carlos alberto sanchez moreno,Aston Villa,{'CDM'},182882,name,58.0,70,Left,3,,,,,,
"[94.3, 56.0]",Jordan Veretout,7153.0,Right Center Midfield,0,0,0.022601364,Aston Villa,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,94.3,56.0,26.280176107667163,13.661043887389969,jordan veretout,Aston Villa,{'CM'},201519,name,73.0,53,Right,3,,,,,,
"[115.2, 44.1]",Scott Sinclair,11117.0,Right Wing,0,0,0.2272298,Aston Villa,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,115.2,44.1,5.457584172507102,61.93792450710733,scott sinclair,Aston Villa,{'RW'},169214,name,72.0,69,Right,2,,,,,,
"[95.8, 38.9]",Carles Gil de Pareja Vicent,6800.0,Right Wing,0,0,0.032634236,Aston Villa,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,95.8,38.9,21.195632804896388,19.576489354204103,carles gil de pareja vicent,Aston Villa,{'RW'},210930,name,65.0,34,Left,3,,,,,,
"[99.9, 45.9]",Jordan Veretout,7153.0,Right Center Midfield,0,1,0.04032639,Aston Villa,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,99.9,45.9,18.28853141315616,21.84917313326161,jordan veretout,Aston Villa,{'CM'},201519,name,73.0,53,Right,3,,,,,,
"[101.8, 23.4]",Leandro Bacuna,9533.0,Left Back,0,0,0.0392699,Aston Villa,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,101.8,23.4,21.276694409611657,14.861228863806971,leandro bacuna,Aston Villa,{'LB'},198133,team+token_name+position,71.0,63,Right,3,,,,,,
"[103.2, 36.2]",Kieran Gibbs,3528.0,Left Wing,0,0,0.044319924,Arsenal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,103.2,36.2,15.050677725604256,26.788358855926592,kieran gibbs,Arsenal,{'LW'},186115,name,57.0,68,Left,2,,,,,,
"[95.2, 30.9]",Idrissa Gana Gueye,3436.0,Left Center Midfield,0,1,0.022195127,Aston Villa,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,95.2,30.9,23.03736584334242,17.069050968343596,idrissa gana gueye,Aston Villa,{'CM'},193474,name,60.0,66,Right,3,,,,,,
"[92.9, 34.9]",Carles Gil de Pareja Vicent,6800.0,Right Wing,0,0,0.038047235,Aston Villa,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,92.9,34.9,24.10549483520302,17.00171002116073,carles gil de pareja vicent,Aston Villa,{'RW'},210930,name,65.0,34,Left,3,,,,,,
"[104.8, 57.9]",Carles Gil de Pareja Vicent,6800.0,Right Wing,0,0,0.029532647,Aston Villa,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,104.8,57.9,20.20856810860185,13.846092970171524,carles gil de pareja vicent,Aston Villa,{'RW'},210930,name,65.0,34,Left,3,,,,,,
"[106.6, 49.3]",Alex Oxlade-Chamberlain,3525.0,Right Wing,0,0,0.06298616,Arsenal,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,106.6,49.3,14.140885757264291,24.703757627465077,alex oxlade chamberlain,Arsenal,{'RW'},198784,name,72.0,34,Right,4,,,,,,
"[107.6, 54.3]",Adama Traoré Diarra,11333.0,Right Wing,0,0,0.08406523,Aston Villa,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,107.6,54.3,16.293143496575485,17.48849228729744,adama traore diarra,Aston Villa,{'RW'},213956,name,61.0,40,Right,3,,,,,,
"[114.6, 24.1]",Aaron Ramsey,3517.0,Center Attacking Midfield,0,0,0.014339935,Arsenal,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,114.6,24.1,14.317152300649738,10.233418012512598,aaron ramsey,Arsenal,{'CAM'},186561,name,78.0,58,Right,3,,,,,,
"[105.8, 44.6]",Héctor Bellerín Moruno,3511.0,Right Back,0,0,0.10026226,Arsenal,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,105.8,44.6,13.025694799126835,30.19941647309185,hector bellerin moruno,Arsenal,{'RB'},203747,name,51.0,59,Right,3,,,,,,
"[98.8, 50.3]",David Josué Jiménez Silva,3064.0,Center Attacking Midfield,0,0,0.041049615,Manchester City,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,98.8,50.3,20.512253045436037,18.434994183348905,david josue jimenez silva,Manchester City,{'CAM'},168542,name,74.0,54,Left,2,,,,,,
"[94.7, 24.8]",Fernando Luiz Roza,3054.0,Left Center Midfield,0,0,0.020903872,Manchester City,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,94.7,24.8,25.631919675474958,14.132271342862458,fernando luiz rosa,Manchester City,{'CM'},135507,name,75.0,55,Right,4,,,,,,
"[108.2, 30.2]",David Josué Jiménez Silva,3064.0,Center Attacking Midfield,0,1,0.059302077,Manchester City,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,108.2,30.2,13.266292812990375,24.92988003922073,david josue jimenez silva,Manchester City,{'CAM'},168542,name,74.0,54,Left,2,,,,,,
"[107.2, 60.5]",Kevin De Bruyne,3089.0,Right Midfield,0,0,0.008411573,Manchester City,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,107.2,60.5,20.71402001061117,11.15730143240954,kevin de bruyne,Manchester City,{'RM'},192985,name,83.0,53,Right,5,,,,,,
"[101.1, 56.7]",Kevin De Bruyne,3089.0,Right Midfield,0,0,0.02781227,Manchester City,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,101.1,56.7,21.79419489795391,14.695154928975546,kevin de bruyne,Manchester City,{'RM'},192985,name,83.0,53,Right,5,,,,,,
"[108.7, 53.2]",Kevin De Bruyne,3089.0,Right Midfield,0,0,0.13341597,Manchester City,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,108.7,53.2,14.954967611131762,18.995064221886715,kevin de bruyne,Manchester City,{'RM'},192985,name,83.0,53,Right,5,,,,,,
"[100.9, 25.3]",Theo Walcott,3668.0,Left Wing,0,0,0.034853064,Arsenal,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,100.9,25.3,20.86702377556512,16.16523946071879,theo walcott,Arsenal,{'LW'},164859,name,77.0,53,Right,3,,,,,,
"[111.4, 46.8]",Gnégnéri Yaya Touré,3087.0,Right Center Midfield,1,0,0.044301234,Manchester City,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,111.4,46.8,9.488626086004222,35.70626353144467,gnegneri yaya toure,Manchester City,{'CM'},20289,name,83.0,74,Right,4,,,,,,
"[111.7, 26.5]",Olivier Giroud,3604.0,Center Forward,0,1,0.10357236,Arsenal,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,111.7,26.5,13.58011528853861,17.26746325003817,olivier giroud,Arsenal,"{'CF', 'ST'}",178509,name,82.0,85,Left,3,,,,,,
"[91.8, 25.4]",Aleksandar Kolarov,5596.0,Left Back,0,0,0.012818143,Manchester City,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,91.8,25.4,27.619987780591067,13.549837145440335,aleksandar kolarov,Manchester City,{'LB'},185103,name,69.0,75,Left,3,,,,,,
"[103.2, 37.1]",Sergio Leonel Agüero del Castillo,3237.0,Center Forward,0,0,0.1318786,Manchester City,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,103.2,37.1,14.905241527731112,27.267363434437097,sergio leonel aguero del castillo,Manchester City,"{'CF', 'ST'}",153079,name,87.0,68,Right,4,,,,,,
"[111.8, 37.5]",Joel Nathaniel Campbell Samuels,5581.0,Right Wing,0,1,0.21412638,Arsenal,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,111.8,37.5,7.483064211938847,50.95392099613554,joel nathaniel campbell samuels,Arsenal,{'RW'},204713,name,72.0,52,Left,2,,,,,,
"[106.3, 35.9]",Sergio Leonel Agüero del Castillo,3237.0,Center Forward,0,0,0.034098778,Manchester City,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,106.3,35.9,12.483804758566194,31.632904489594317,sergio leonel aguero del castillo,Manchester City,"{'CF', 'ST'}",153079,name,87.0,68,Right,4,,,,,,
"[112.6, 53.3]",Joel Nathaniel Campbell Samuels,5581.0,Right Wing,0,0,0.071731,Arsenal,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,112.6,53.3,13.027994857229569,16.86623592488928,joel nathaniel campbell samuels,Arsenal,{'RW'},204713,name,72.0,52,Left,2,,,,,,
"[111.4, 36.2]",Aaron Ramsey,3517.0,Left Center Midfield,0,0,0.49588525,Arsenal,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,111.4,36.2,8.188926974885039,45.74816301936643,aaron ramsey,Arsenal,{'CM'},186561,name,78.0,58,Right,3,,,,,,
"[109.1, 39.9]",Wilfried Guemiand Bony,3598.0,Center Forward,0,0,0.07706488,Manchester City,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,109.1,39.9,9.537878760500163,41.98579319593263,wilfried guemiand bony,Manchester City,"{'CF', 'ST'}",189963,name,83.0,84,Right,4,,,,,,
"[93.7, 18.7]",Aleksandar Kolarov,5596.0,Left Back,0,0,0.006918464,Manchester City,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,93.7,18.7,29.280815925277768,11.287565675476714,aleksandar kolarov,Manchester City,{'LB'},185103,name,69.0,75,Left,3,,,,,,
"[102.8, 36.1]",Aaron Ramsey,3517.0,Left Center Midfield,0,0,0.09111866,Arsenal,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,102.8,36.1,15.410766528631855,26.178802368164085,aaron ramsey,Arsenal,{'CM'},186561,name,78.0,58,Right,3,,,,,,
"[99.7, 22.5]",Raheem Sterling,3233.0,Left Midfield,0,0,0.024466073,Manchester City,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,99.7,22.5,23.168341141523275,13.951455800986514,raheem sterling,Manchester City,{'LM'},202652,name,71.0,38,Right,3,,,,,,
