location,player,player_id,position,shot_aerial_won,shot_first_time,shot_statsbomb_xg,under_pressure,shot_open_goal,shot_follows_dribble,goalkeeper_success_out,half_end_early_video_end,goal,shot_body_part_Head,shot_body_part_Left Foot,shot_body_part_Other,shot_body_part_Right Foot,shot_technique_Backheel,shot_technique_Diving Header,shot_technique_Half Volley,shot_technique_Lob,shot_technique_Normal,shot_technique_Overhead Kick,shot_technique_Volley,shot_type_Corner,shot_type_Free Kick,shot_type_Open Play,shot_type_Penalty,x,y,distance,angle
"[114.2, 45.9]",Franco Damián Vázquez,6719.0,Right Center Forward,0,0,0.35600764,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,114.2,45.9,8.273451516749219,41.497646844242354
"[101.2, 41.2]",Mattia Destro,8103.0,Center Forward,0,0,0.05754551,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,101.2,41.2,18.838258942906585,23.932362373456737
"[103.1, 48.2]",Mattia Destro,8103.0,Center Forward,0,1,0.058749203,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,103.1,48.2,18.784301956687138,21.868828324537706
"[112.5, 32.4]",Mattia Destro,8103.0,Center Forward,0,1,0.1249652,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,112.5,32.4,10.677546534667972,31.47423597815258
"[110.7, 57.1]",Aleksandar Trajkovski,30512.0,Right Center Forward,0,0,0.012961831,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,110.7,57.1,19.465353837010003,11.585959558507385
"[107.8, 31.6]",Mattia Destro,8103.0,Center Forward,0,0,0.06660374,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,107.8,31.6,14.81215716902842,25.63367923254661
"[94.2, 38.4]",Emanuele Giaccherini,7775.0,Left Wing,0,0,0.04560768,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,94.2,38.4,25.849564793241683,17.560878529625164
"[109.8, 57.0]",Godfred Donsah,8280.0,Right Center Midfield,0,0,0.018386038,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,109.8,57.0,19.825236442474022,12.211768369848661
"[89.0, 37.2]",Franco Brienza,45591.0,Right Wing,0,0,0.02648723,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,89.0,37.2,31.126194756185665,14.588949591258427
"[91.4, 29.4]",Anderson Hernanes de Carvalho Andrade,25345.0,Center Defensive Midfield,0,0,0.020485952,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,91.4,29.4,30.501147519396703,14.04921805545676
"[109.9, 38.6]",Paulo Bruno Exequiel Dybala,5743.0,Right Center Forward,0,1,0.747586,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,109.9,38.6,10.196568050084297,42.567317343036265
"[93.6, 39.4]",Anderson Hernanes de Carvalho Andrade,25345.0,Center Defensive Midfield,0,0,0.036221962,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,93.6,39.4,26.40681730159847,17.222730343758304
"[113.9, 30.5]",Mario Mandžukić,5472.0,Left Center Forward,0,1,0.08194362,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,113.9,30.5,11.289818421923353,23.645016402110556
"[90.0, 50.1]",Anderson Hernanes de Carvalho Andrade,25345.0,Center Defensive Midfield,0,1,0.0178551,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,90.0,50.1,31.65454153830063,13.6800700019236
"[113.6, 54.3]",Danilo D''Ambrosio,6984.0,Right Wing Back,0,1,0.021942716,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,113.6,54.3,15.666843970627907,12.57903352898142
"[109.2, 37.6]",Mario Mandžukić,5472.0,Left Center Forward,1,0,0.04613069,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,109.2,37.6,11.063453348751462,39.07763697853355
"[91.5, 43.5]",Geoffrey Kondogbia,6589.0,Left Center Midfield,0,0,0.035677206,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,91.5,43.5,28.71410803072246,15.748648841724917
"[115.8, 47.2]",Leonardo Bonucci,7173.0,Center Back,0,1,0.22451563,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,115.8,47.2,8.335466393669886,32.140006502433096
"[105.3, 36.3]",Paulo Bruno Exequiel Dybala,5743.0,Right Center Forward,0,1,0.090407744,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,105.3,36.3,15.158495967608399,28.815114691646095
"[111.1, 22.6]",Alex Nicolao Telles,11183.0,Left Wing Back,0,0,0.012439211,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,111.1,22.6,19.544052803858264,11.009449222856682
"[95.5, 18.4]",Adem Ljajić,5587.0,Center Attacking Midfield,0,0,0.007874862,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,95.5,18.4,32.66205749795931,10.565556572540409
"[108.0, 40.0]",Álvaro Borja Morata Martín,3477.0,Right Center Forward,0,0,0.7835,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,108.0,40.0,12.0,36.86989764584402
"[87.5, 45.9]",Adem Ljajić,5587.0,Right Midfield,0,0,0.028717158,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,87.5,45.9,33.0311973746033,13.595751201638938
"[114.9, 28.3]",João Miranda de Souza Filho,5551.0,Right Center Back,0,0,0.078924745,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,114.9,28.3,12.763228431709585,15.522099348011555
"[108.8, 30.5]",Eder Citadin Martins,7000.0,Right Center Forward,0,0,0.13160053,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,108.8,30.5,14.686388255796592,24.16555813949394
"[97.4, 27.6]",Ivan Perišić,5474.0,Left Midfield,0,1,0.028747046,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,97.4,27.6,25.77828543561421,15.577865520747206
"[102.8, 38.5]",Andrea Belotti,7471.0,Right Center Forward,0,0,0.0976123,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,102.8,38.5,17.265283084849784,26.002545495020573
"[107.4, 46.4]",Alex Rodrigo Dias da Costa,40945.0,Right Center Back,0,0,0.026772276,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,107.4,46.4,14.132232661543604,28.75185931920077
"[101.6, 57.7]",Keisuke Honda,5683.0,Right Midfield,0,0,0.023758056,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,101.6,57.7,25.531353273964942,13.034425398173736
"[112.4, 65.1]",Ciro Immobile,7788.0,Left Center Forward,0,1,0.004773926,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,112.4,65.1,26.22536939682642,5.171588332005384
"[109.2, 36.9]",Kamil Glik,3034.0,Center Back,1,0,0.040823024,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,109.2,36.9,11.236102527122114,38.08485736266576
"[90.1, 38.1]",Afriyie Acquah,7474.0,Right Center Midfield,0,0,0.021937745,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,90.1,38.1,29.960307074527798,15.179974359439958
"[95.5, 52.3]",Keisuke Honda,5683.0,Right Midfield,0,0,0.047175914,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,95.5,52.3,27.414229881577924,14.920944314036378
