,Player Name,Shooting,Saving,statsbomb_name,player_norm
49,Bradley Watkins,16.833333333333332,56.75,,
50,Callum Robinson,60.5,16.0,,
51,Carles Gil,68.0,13.5,,
52,Carlos Sánchez,59.0,12.0,,
53,Charles N'Zogbia,69.0,13.25,,
54,Ciaran Clark,55.833333333333336,15.25,,
55,Corey Blackett-Taylor,47.333333333333336,9.5,,
56,Easah Suliman,32.5,13.0,,
57,Gabriel Agbonlahor,70.66666666666667,11.5,,
58,Gary Gardner,71.66666666666667,14.5,,
59,Idrissa Gueye,57.5,11.75,,
60,Jack Grealish,57.5,12.75,,
61,Janoi Donacien,33.5,17.0,,
62,Jed Steer,18.666666666666668,81.5,,
63,Jerell Sellars,60.333333333333336,15.25,,
64,Joe Bennett,42.0,11.75,,
65,Joleon Lescott,48.0,10.25,,
66,Jordan Amavi,66.83333333333333,14.5,,
67,Jordan Ayew,74.83333333333333,11.0,,
68,Jordan Lyden,50.0,12.5,,
69,Jordan Veretout,72.83333333333333,11.25,,
70,Jores Okore,41.333333333333336,15.75,,
71,Keinan Davis,51.5,10.5,,
72,Kevin Toner,34.166666666666664,14.5,,
73,Kieran Richardson,71.0,10.25,,
74,Leandro Bacuna,72.5,17.25,,
75,Libor Kozák,73.66666666666667,12.25,,
76,Mark Bunn,20.833333333333332,92.25,,
77,Micah Richards,49.666666666666664,13.5,,
78,Nathan Baker,33.0,12.0,,
79,Niall Mason,41.0,12.25,,
80,Riccardo Calder,48.666666666666664,15.5,,
81,Rudy Gestede,71.16666666666667,10.0,,
82,Rushian Hepburn-Murphy,59.666666666666664,14.75,,
83,Scott Sinclair,71.83333333333333,16.25,,
84,Adam Federici,23.0,91.0,,
85,Adam Smith,52.666666666666664,10.0,,
86,Andrew Surman,63.666666666666664,17.5,,
87,Artur Boruc,16.333333333333332,98.25,,
88,Baily Cargill,29.833333333333332,10.75,,
89,Benik Afobe,72.16666666666667,9.25,,
90,Brandon Goodship,51.166666666666664,14.0,,
91,Callum Wilson,71.5,12.75,,
92,Charlie Daniels,50.166666666666664,14.25,,
93,Dan Gosling,68.33333333333333,12.0,,
94,Eunan O'Kane,51.5,14.25,,
95,Glenn Murray,72.83333333333333,15.75,,
96,Harry Arter,70.0,9.75,,
97,Harry Cornick,51.666666666666664,11.75,,
98,Jack Simpson,34.666666666666664,9.0,,
99,Jayden Stockley,52.833333333333336,13.75,,
100,Joe Quigley,61.166666666666664,15.5,,
101,Jonathan Muleba,25.0,12.25,,
102,Jordan Lee,37.0,11.0,,
103,Josh Wakefield,46.0,12.75,,
104,Joshua King,64.33333333333333,13.0,,
105,Juan Manuel Iturbe,69.16666666666667,11.75,,
106,Junior Stanislas,61.333333333333336,11.75,,
107,Lee Tomlin,69.33333333333333,13.25,,
108,Lewis Grabban,70.16666666666667,14.5,,
109,Marc Pugh,64.33333333333333,15.25,,
110,Matt Ritchie,68.16666666666667,16.25,,
111,Matthew Butcher,47.666666666666664,13.75,,
112,Max Gradel,73.0,14.0,,
113,Rhoys Wiggins,43.333333333333336,15.25,,
114,Ryan Allsop,17.166666666666668,78.25,,
115,Ryan Fraser,59.666666666666664,15.25,,
116,Shaun MacDonald,58.166666666666664,12.75,,
117,Simon Francis,46.5,12.5,,
118,Steve Cook,23.5,16.5,,
119,Stéphane Zubar,33.5,10.0,,
120,Sylvain Distin,42.666666666666664,9.5,,
121,Tokelo Rantie,61.333333333333336,15.0,,
122,Tommy Elphick,33.0,15.0,,
123,Tyrone Mings,37.5,11.5,,
124,Abdul Rahman Baba,48.833333333333336,14.0,,
125,Alexandre Pato,77.83333333333333,15.5,,
126,Andreas Christensen,28.833333333333332,11.5,,
127,Asmir Begović,19.166666666666668,102.5,,
128,Azpilicueta,59.666666666666664,11.5,,
129,Bertrand Traoré,73.33333333333333,13.5,,
130,Bradley Collins,18.666666666666668,71.25,,
131,Branislav Ivanović,59.833333333333336,15.75,,
132,Cesc Fàbregas,78.66666666666667,13.0,,
133,Charlie Colkett,49.0,11.75,,
134,Charly Musonda,57.5,8.75,,
135,Cristian Manea,47.5,11.5,,
136,Diego Costa,80.83333333333333,13.5,,
137,Eden Hazard,81.83333333333333,12.5,,
138,Falcao,82.0,11.75,,
139,Fikayo Tomori,31.833333333333332,12.75,,
140,Gary Cahill,55.0,9.75,,
141,Jake Clarke-Salter,33.333333333333336,10.75,,
142,Joao Rodríguez,57.5,13.25,,
143,John Obi Mikel,54.5,16.25,,
144,John Swift,57.0,12.75,,
145,John Terry,47.5,14.0,,
146,Kasey Palmer,59.833333333333336,14.25,,
147,Kenedy,65.83333333333333,16.0,,
148,Kurt Zouma,52.166666666666664,16.5,,
149,Lewis Baker,69.5,11.25,,
150,Loïc Rémy,78.0,13.5,,
151,Lucas Piazon,72.83333333333333,12.75,,
152,Marco Amelia,21.833333333333332,87.5,,
153,Marco van Ginkel,72.16666666666667,13.0,,
154,Matt Miazga,29.166666666666668,12.25,,
155,Michael Hector,45.833333333333336,15.75,,
156,Nathan,61.833333333333336,14.0,,
157,Nathan Aké,50.333333333333336,13.25,,
158,Nemanja Matić,71.33333333333333,13.0,,
159,Ola Aina,39.833333333333336,11.75,,
160,Oscar,73.33333333333333,14.5,,
161,Patrick Bamford,66.66666666666667,11.75,,
162,Pedro,74.0,11.25,,
163,Ruben Loftus-Cheek,50.5,14.25,,
164,Tammy Abraham,62.833333333333336,14.25,,
165,Thibaut Courtois,19.833333333333332,107.25,,
166,Tomáš Kalas,48.666666666666664,9.5,,
167,Victor Moses,70.5,14.25,,
168,Willian,70.5,15.0,,
169,Aaron Bissaka,54.833333333333336,10.5,,
170,Adrian Mariappa,37.666666666666664,12.5,,
171,Alex McCarthy,20.0,96.5,,
172,Bakary Sako,75.66666666666667,14.5,,
173,Chris Kettings,11.5,75.5,,
174,Connor Dymond,45.166666666666664,16.25,,
175,Connor Wickham,71.33333333333333,13.5,,
176,Damien Delaney,44.5,12.75,,
177,Dwight Gayle,71.16666666666667,10.75,,
178,Emmanuel Adebayor,77.66666666666667,14.25,,
179,Ezekiel Fryers,39.166666666666664,11.25,,
180,Fraizer Campbell,68.66666666666667,15.5,,
181,Hiram Boateng,48.5,14.5,,
182,Jake Gray,52.833333333333336,11.25,,
183,James McArthur,62.166666666666664,1.25,,
184,Jason Puncheon,74.0,16.75,,
185,Jerome Binnom-Williams,33.666666666666664,11.25,,
186,Joe Ledley,65.66666666666667,15.5,,
187,Joel Ward,52.666666666666664,11.0,,
188,Jonathan Williams,60.833333333333336,12.75,,
189,Jordon Mutch,67.66666666666667,13.5,,
190,Julián Speroni,15.166666666666666,97.0,,
191,Keshi Anderson,63.833333333333336,9.0,,
192,Kwesi Appiah,61.166666666666664,9.5,,
193,Lee Chung Yong,64.66666666666667,8.5,,
194,Luke Croll,28.333333333333332,15.25,,
195,Marouane Chamakh,76.33333333333333,14.25,,
196,Martin Kelly,46.833333333333336,10.0,,
197,Mile Jedinák,68.83333333333333,15.75,,
198,Pape Souaré,53.333333333333336,12.5,,
199,Patrick McCarthy,37.833333333333336,16.0,,
200,Reise Allassani,45.5,12.5,,
201,Scott Dann,35.5,9.5,,
202,Sullay Kaikai,61.666666666666664,15.5,,
203,Wayne Hennessey,18.833333333333332,93.0,,
204,Wilfried Zaha,65.5,15.25,,
205,Yannick Bolasie,66.83333333333333,11.25,,
206,Yohan Cabaye,76.83333333333333,14.25,,
207,Aaron Lennon,64.33333333333333,15.5,,
208,Aiden McGeady,69.5,12.0,,
209,Arouna Koné,74.16666666666667,11.25,,
210,Brendan Galloway,38.5,10.5,,
211,Bryan Oviedo,61.0,15.0,,
212,Callum Connolly,40.333333333333336,10.0,,
213,Conor Grant,54.666666666666664,11.75,,
214,Conor McAleny,64.66666666666667,12.5,,
215,Darron Gibson,69.16666666666667,14.5,,
216,David Henen,55.666666666666664,15.25,,
217,Deulofeu,67.66666666666667,15.5,,
218,Felipe Mattioni,55.833333333333336,13.25,,
219,Gareth Barry,66.5,11.5,,
220,James McCarthy,65.83333333333333,14.5,,
221,Jindřich Staněk,18.833333333333332,77.75,,
222,Joel Robles,17.0,93.75,,
223,John Stones,38.0,11.75,,
224,Jonjoe Kenny,36.833333333333336,13.25,,
225,Kevin Mirallas,77.0,13.5,,
226,Kieran Dowell,60.333333333333336,12.75,,
227,Leighton Baines,76.16666666666667,14.0,,
228,Leon Osman,73.83333333333333,15.25,,
229,Liam Walsh,54.0,9.75,,
230,Luke Garbutt,52.833333333333336,15.5,,
231,Mason Holgate,43.333333333333336,15.5,,
232,Mateusz Hewelt,17.5,73.5,,
233,Matthew Pennington,35.833333333333336,14.75,,
234,Muhamed Bešić,48.166666666666664,13.5,,
235,Oumar Niasse,74.33333333333333,14.0,,
236,Phil Jagielka,52.666666666666664,40.75,,
237,Ramiro Funes Mori,46.833333333333336,11.0,,
238,Romelu Lukaku,80.16666666666667,12.0,,
239,Ross Barkley,70.66666666666667,12.0,,
240,Ryan Ledson,52.166666666666664,15.75,,
241,Steven Kinsella,56.833333333333336,13.75,,
242,Steven Pienaar,71.0,14.0,,
243,Séamus Coleman,68.0,11.25,,
244,Tom Cleverley,71.16666666666667,16.5,,
245,Tom Davies,41.333333333333336,14.5,,
246,Tony Hibbert,26.5,17.75,,
247,Tyias Browning,37.5,13.5,,
248,Andre Olukanmi,52.666666666666664,11.75,,
249,Andrej Kramarić,76.33333333333333,13.0,,
250,Andy King,70.33333333333333,9.5,,
251,Ben Chilwell,36.833333333333336,11.0,,
252,Ben Hamer,18.833333333333332,83.75,,
253,Brandon Fox,52.166666666666664,12.0,,
254,Callum Elder,33.333333333333336,15.5,,
255,Christian Fuchs,71.83333333333333,17.25,,
256,Daniel Amartey,60.333333333333336,15.5,,
257,Danny Drinkwater,63.833333333333336,12.75,,
258,Danny Simpson,46.666666666666664,13.75,,
259,Dean Hammond,57.166666666666664,13.0,,
260,Demarai Gray,60.0,11.5,,
261,Gökhan Inler,74.0,12.75,,
262,Hamza Choudhury,45.5,13.25,,
263,Jack Barmby,56.5,13.0,,
264,Jacob Blyth,59.833333333333336,14.75,,
265,Jamie Vardy,78.0,17.5,,
266,Jeffrey Schlupp,63.0,11.0,,
267,Joe Dodoo,54.166666666666664,13.75,,
268,Jonathan Maddison,18.0,68.75,,
269,Kasper Schmeichel,19.5,98.75,,
270,Kyle Bailey,58.833333333333336,15.0,,
271,Leonardo Ulloa,71.33333333333333,15.25,,
272,Liam Moore,33.0,10.75,,
273,Marc Albrighton,67.83333333333333,17.0,,
274,Marcin Wasilewski,56.333333333333336,10.25,,
275,Mark Schwarzer,21.333333333333332,90.0,,
276,Matty James,57.833333333333336,11.5,,
277,Michael Cain,54.5,15.25,,
278,N'Golo Kanté,63.5,14.75,,
279,Nathan DyerL,70.0,14.75,,
280,Paul Konchesky,53.833333333333336,17.5,,
281,Ritchie De Laet,43.833333333333336,16.25,,
282,Riyad Mahrez,74.83333333333333,14.0,,
283,Robert Huth,53.166666666666664,14.5,,
284,Ryan Watson,49.333333333333336,13.75,,
285,Shinji Okazaki,75.0,9.5,,
286,Simonas Stankevičius,58.166666666666664,10.25,,
287,Tom Lawrence,60.166666666666664,11.75,,
288,Wes Morgan,30.833333333333332,13.25,,
289,Adam Lallana,71.83333333333333,11.5,,
290,Alberto Moreno,61.666666666666664,13.75,,
291,Allan,58.5,10.5,,
292,Andre Wisdom,36.666666666666664,13.0,,
293,Brad Smith,42.166666666666664,15.25,,
294,Cameron Brannagan,48.0,12.75,,
295,Christian Benteke,78.16666666666667,11.5,,
296,Connor Randall,52.666666666666664,12.5,,
297,Coutinho,74.0,12.75,,
298,Daniel Sturridge,81.0,11.75,,
299,Danny Ings,72.0,13.75,,
300,Danny Ward,17.333333333333332,82.0,,
301,Dejan Lovren,40.833333333333336,14.75,,
302,Divock Origi,70.66666666666667,17.25,,
303,Emre Can,65.66666666666667,15.0,,
304,Ilori,36.166666666666664,12.5,,
305,James Milner,78.83333333333333,1.25,,
306,Joe Allen,56.333333333333336,11.75,,
307,Joe Gomez,32.333333333333336,10.75,,
308,Jon Flanagan,39.833333333333336,13.75,,
309,Jordan Henderson,70.5,12.25,,
310,Jordan Williams,42.0,11.25,,
311,Jordon Ibe,64.0,16.75,,
312,José Enrique,56.833333333333336,18.5,,
313,Kevin Stewart,38.166666666666664,14.0,,
314,Kolo Touré,56.5,13.75,,
315,Lawrence Vigouroux,18.0,78.5,,
316,Lazar Marković,67.33333333333333,9.5,,
317,Lloyd Jones,33.166666666666664,12.5,,
318,Lucas Leiva,47.666666666666664,9.75,,
319,Mamadou Sakho,34.0,13.75,,
320,Martin Škrtel,40.666666666666664,13.0,,
321,Nathaniel Clyne,58.666666666666664,13.25,,
322,Roberto Firmino,78.5,10.75,,
323,Ryan Fulton,17.833333333333332,71.5,,
324,Samed Yesil,63.166666666666664,13.25,,
325,Sergi Canós,59.666666666666664,13.0,,
326,Sheyi Ojo,57.166666666666664,15.0,,
327,Simon Mignolet,24.166666666666668,98.25,,
328,Steven CaulkerL,31.5,16.25,,
329,Teixeira,59.0,18.75,,
330,Ádám Bogdán,13.833333333333334,93.5,,
331,Aleix García,47.333333333333336,14.25,,
332,Aleksandar Kolarov,72.16666666666667,17.25,,
333,Angeliño,55.833333333333336,14.5,,
334,Angus Gunn,20.5,79.5,,
335,Anthony Caceres,58.5,13.25,,
336,Bacary Sagna,58.666666666666664,12.25,,
337,Bersant Celina,60.833333333333336,12.75,,
338,Bismark Adjei-Boateng,60.333333333333336,15.75,,
339,Brandon Barker,58.0,11.0,,
340,Cameron Humphreys-Grant,36.166666666666664,11.5,,
341,Chidiebere Nwakali,53.0,13.5,,
342,Collins Tanor,41.333333333333336,16.25,,
343,David Faupala,61.333333333333336,13.75,,
344,David Silva,77.0,1.25,,
345,Eliaquim Mangala,44.833333333333336,14.25,,
346,Ernest Agyiri,53.333333333333336,16.0,,
347,Fabian Delph,68.5,11.5,,
348,Fernandinho,73.16666666666667,13.75,,
349,Fernando,58.666666666666664,1.25,,
350,Gaël Clichy,49.833333333333336,12.0,,
351,Ian Lawlor,19.833333333333332,76.5,,
352,Jack Byrne,57.666666666666664,9.0,,
353,James Horsfield,49.333333333333336,13.75,,
354,Jesús Navas,70.66666666666667,12.5,,
355,Joe Hart,33.166666666666664,105.25,,
356,Kelechi Iheanacho,71.33333333333333,12.25,,
357,Kevin De Bruyne,82.16666666666667,16.5,,
358,Manu García,54.5,17.0,,
359,Martín Demichelis,38.833333333333336,9.5,,
360,Nicolás Otamendi,54.5,13.0,,
361,Olivier Ntcham,50.5,10.5,,
362,Pablo Zabaleta,60.0,11.5,,
363,Patrick Roberts,56.5,12.5,,
364,Raheem Sterling,69.0,16.5,,
365,Samir Nasri,76.5,1.25,,
366,Sergio Agüero,86.66666666666667,16.5,,
367,Shay Facey,30.833333333333332,12.5,,
368,Thierry Ambrose,59.833333333333336,11.75,,
369,Tosin Adarabioyo,28.5,14.0,,
370,Vincent Kompany,54.333333333333336,10.75,,
371,Wilfried Bony,80.66666666666667,11.5,,
372,Willy Caballero,14.0,97.5,,
373,Yaya Touré,81.0,15.0,,
374,Adnan Januzaj,64.33333333333333,14.75,,
375,Ander Herrera,73.5,11.75,,
376,Andreas Pereira,57.5,15.25,,
377,Anthony Martial,75.66666666666667,13.0,,
378,Antonio Valencia,65.83333333333333,14.25,,
379,Ashley Fletcher,52.833333333333336,13.0,,
380,Ashley Young,72.0,18.25,,
381,Bastian Schweinsteiger,80.5,16.5,,
382,Cameron Borthwick-Jackson,40.333333333333336,10.75,,
383,Chris Smalling,41.333333333333336,16.25,,
384,Daley Blind,60.333333333333336,14.25,,
385,De Gea,20.166666666666668,107.75,,
386,Guillermo Varela,38.333333333333336,16.0,,
387,James Wilson,63.833333333333336,14.25,,
388,Jesse Lingard,65.33333333333333,15.0,,
389,Joe Riley,44.166666666666664,10.5,,
390,Juan Mata,76.5,10.25,,
391,Luke Shaw,46.166666666666664,11.5,,
392,Marcos Rojo,61.0,11.75,,
393,Marcus Rashford,65.5,12.25,,
394,Marouane Fellaini,72.16666666666667,13.25,,
395,Matteo Darmian,55.166666666666664,9.5,,
396,Memphis Depay,75.5,13.0,,
397,Michael Carrick,66.33333333333333,15.5,,
398,Morgan Schneiderlin,61.666666666666664,11.0,,
399,Nick Powell,67.0,17.25,,
400,Paddy McNair,41.0,14.5,,
401,Phil Jones,55.666666666666664,13.75,,
402,Regan Poole,31.333333333333332,16.5,,
403,Sam Johnstone,19.833333333333332,83.5,,
404,Sean Goss,46.0,11.5,,
405,Sergio Romero,13.833333333333334,93.5,,
406,Timothy Fosu-Mensah,50.5,12.0,,
407,Tyler Blackett,41.666666666666664,15.75,,
408,Victor Valdés,16.5,101.5,,
409,Wayne Rooney,85.16666666666667,11.5,,
410,Will Keane,63.833333333333336,12.0,,
411,Adam Armstrong,66.16666666666667,13.0,,
412,Aleksandar Mitrović,76.33333333333333,15.5,,
413,Alex Gilliead,54.5,12.0,,
414,Andros Townsend,73.0,15.25,,
415,Ayoze Pérez,72.5,14.5,,
416,Callum Williams,31.333333333333332,11.5,,
417,Chancel Mbemba,50.333333333333336,11.5,,
418,Cheick Tioté,59.5,9.0,,
419,Curtis Good,37.166666666666664,12.5,,
420,Daniel Barlaser,57.333333333333336,11.75,,
421,Daryl Janmaat,65.33333333333333,14.5,,
422,Emmanuel Rivière,69.66666666666667,13.5,,
423,Fabricio Coloccini,54.5,15.0,,
424,Freddie Woodman,17.166666666666668,77.0,,
425,Gabriel Obertan,62.833333333333336,13.25,,
426,Gael Bigirimana,51.833333333333336,13.25,,
427,Georginio Wijnaldum,74.5,14.0,,
428,Haris Vučkić,66.5,13.25,,
429,Henri Saivet,70.83333333333333,13.5,,
430,Ivan Toney,54.333333333333336,13.75,,
431,Jack Colback,58.0,8.75,,
432,Jamaal Lascelles,27.166666666666668,15.0,,
433,Jamie Sterry,40.666666666666664,13.0,,
434,Jonjo Shelvey,72.33333333333333,15.75,,
435,Karl Darlow,15.0,86.5,,
436,Kevin Mbabu,31.333333333333332,12.75,,
437,Kyle Cameron,35.0,12.0,,
438,Liam Smith,54.0,12.25,,
439,Lubomir Satka,30.666666666666668,14.75,,
440,Macaulay Gillesphey,36.0,15.0,,
441,Massadio Haïdara,51.666666666666664,14.25,,
442,Moussa Sissoko,73.16666666666667,13.5,,
443,Papiss Demba Cissé,79.0,12.75,,
444,Paul Dummett,41.166666666666664,16.25,,
445,Rob Elliot,17.0,87.0,,
446,Rolando Aarons,60.166666666666664,13.25,,
447,Sammy Ameobi,65.66666666666667,12.5,,
448,Seydou DoumbiaL,78.33333333333333,14.25,,
449,Siem de Jong,79.83333333333333,14.25,,
450,Sylvain Marveaux,70.0,11.75,,
451,Tim Krul,20.333333333333332,99.25,,
452,Vurnon Anita,52.833333333333336,16.25,,
453,Yoan Gouffran,74.16666666666667,14.75,,
454,Adel Gafaiti,28.166666666666668,14.25,,
455,Afolabi Coker,29.833333333333332,13.5,,
456,Alexander Tettey,70.0,28.25,,
457,Andre WisdomL,36.666666666666664,13.0,,
458,Ben Godfrey,45.0,11.25,,
459,Cameron Jerome,72.0,17.75,,
460,Cameron King,47.166666666666664,14.5,,
461,Carlton Morris,56.666666666666664,13.5,,
462,Declan Rudd,18.833333333333332,90.25,,
463,Dieumerci Mbokani,75.0,11.0,,
464,Ebou Adams,52.0,11.0,,
465,Gary O'Neil,64.33333333333333,13.5,,
466,Graham Dorrans,71.33333333333333,9.25,,
467,Harry Toffolo,45.333333333333336,16.25,,
468,Ivo Pinto,52.0,14.75,,
469,Jacob Murphy,56.833333333333336,14.5,,
470,Jake Kean,17.0,77.75,,
471,Jamar Loza,53.333333333333336,13.75,,
472,James Maddison,64.0,15.5,,
473,Jamie Eaton-Collins,46.666666666666664,10.5,,
474,John Ruddy,20.833333333333332,94.25,,
475,Jonny Howson,70.33333333333333,16.0,,
476,Josh Murphy,64.16666666666667,15.5,,
477,Kyle Lafferty,70.5,13.5,,
478,Louis Thompson,51.833333333333336,11.75,,
479,Martin Olsson,62.833333333333336,13.0,,
480,Matt Jarvis,63.833333333333336,10.0,,
481,Michael Turner,36.666666666666664,14.0,,
482,Nathan Redmond,66.0,13.5,,
483,Patrick BamfordL,66.66666666666667,11.75,,
484,Reece Hall-Johnson,43.833333333333336,10.5,,
485,Remi Matthews,18.166666666666668,74.25,,
486,Robbie Brady,68.66666666666667,11.5,,
487,Russell Martin,56.666666666666664,13.75,,
488,Ryan Bennett,25.166666666666668,12.0,,
489,Steven Naismith,73.33333333333333,15.0,,
490,Steven Whittaker,64.5,16.0,,
491,Sébastien Bassong,37.5,10.75,,
492,Timm Klose,42.666666666666664,16.25,,
493,Todd Cantwell,48.166666666666664,14.75,,
494,Tony Andreu,65.5,10.0,,
495,Vadis Odjidja-Ofoe,71.5,14.5,,
496,Wes Hoolahan,70.0,15.0,,
497,Youssouf Mulumbu,58.833333333333336,17.75,,
498,Charlie Austin,78.0,12.75,,
499,Cuco Martina,53.0,16.5,,
500,Cédric,69.66666666666667,14.75,,
501,Dominic Gape,46.666666666666664,15.25,,
502,Dušan Tadić,71.33333333333333,14.5,,
503,Florin Gardoş,46.666666666666664,13.75,,
504,Fraser Forster,19.166666666666668,96.5,,
505,Gastón Ramírez,75.16666666666667,14.5,,
506,Graziano Pellè,78.16666666666667,16.0,,
507,Harrison Reed,50.666666666666664,11.75,,
508,Jack Stephens,41.666666666666664,14.75,,
509,Jake Flannigan,54.333333333333336,11.75,,
510,Jake Hesketh,47.666666666666664,14.75,,
511,James Ward-Prowse,62.166666666666664,16.5,,
512,Jason McCarthy,33.666666666666664,12.25,,
513,Jay Rodriguez,75.5,14.75,,
514,Jordan Turnbull,29.166666666666668,15.25,,
515,Jordy Clasie,62.666666666666664,12.5,,
516,Josh Sims,55.833333333333336,12.5,,
517,Joshua Debayo,36.0,11.5,,
518,José Fonte,35.833333333333336,10.25,,
519,Juanmi,67.16666666666667,12.25,,
520,Lloyd Isgrove,51.333333333333336,12.5,,
521,Maarten StekelenburgL,13.666666666666666,95.25,,
522,Matt Targett,40.833333333333336,15.0,,
523,Maya Yoshida,46.166666666666664,14.75,,
524,Olufela Olomola,56.166666666666664,16.0,,
525,Oriol Romeu,42.333333333333336,16.25,,
526,Paulo Gazzaniga,22.333333333333332,81.5,,
527,Ryan Bertrand,50.833333333333336,15.0,,
528,Ryan Seager,63.333333333333336,11.25,,
529,Sadio Mané,71.5,12.75,,
530,Sam Gallagher,61.166666666666664,14.0,,
531,Sam McQueen,55.666666666666664,13.0,,
532,Shane Long,73.83333333333333,14.0,,
533,Steven Davis,63.0,11.25,,
534,Victor Wanyama,66.0,13.75,,
535,Virgil van Dijk,58.0,14.5,,
536,Will Wood,38.666666666666664,12.75,,
537,Bojan,74.16666666666667,11.25,,
538,Charlie Adam,79.16666666666667,8.75,,
539,Daniel Bachmann,20.0,75.75,,
540,Dionatan Teixeira,34.666666666666664,12.0,,
541,Dom Telford,57.666666666666664,17.0,,
542,Dominic Kurasik,18.333333333333332,76.25,,
543,Dániel Gyollai,19.666666666666668,77.0,,
544,Eddy Lecygne,51.5,14.5,,
545,Erik Pieters,46.5,17.25,,
546,Geoff Cameron,59.833333333333336,13.5,,
547,George Waring,57.833333333333336,10.75,,
548,Giannelli Imbula,56.5,11.0,,
549,Glen Johnson,65.16666666666667,11.5,,
550,Glenn Whelan,64.5,15.0,,
551,Ibrahim Afellay,72.83333333333333,13.75,,
552,Jack Butland,21.333333333333332,100.75,,
553,Jakob Haugaard,14.166666666666666,78.0,,
554,Joel Taylor,41.666666666666664,9.75,,
555,Jonathan Walters,71.83333333333333,11.5,,
556,Joselu,73.5,13.75,,
557,Mame Diouf,74.66666666666667,1.25,,
558,Marc Muniesa,44.666666666666664,16.25,,
559,Marc Wilson,58.5,12.0,,
560,Mark Waddington,47.333333333333336,13.25,,
561,Marko Arnautović,75.5,17.0,,
562,Moha,57.666666666666664,14.5,,
563,Oliver Shenton,55.833333333333336,12.5,,
564,Peter Crouch,76.16666666666667,16.0,,
565,Peter Odemwingie,74.0,15.25,,
566,Phil Bardsley,58.5,11.75,,
567,Philipp Wollscheid,38.333333333333336,13.25,,
568,Ryan Shawcross,39.833333333333336,15.0,,
569,Shay Given,24.166666666666668,92.0,,
570,Stephen Ireland,69.83333333333333,16.5,,
571,Steve Sidwell,69.83333333333333,12.5,,
572,Xherdan Shaqiri,75.66666666666667,15.0,,
573,Adam Matthews,55.0,11.75,,
574,Billy Jones,53.0,12.5,,
575,Dame N'Doye,73.66666666666667,16.25,,
576,Danny Graham,71.16666666666667,12.5,,
577,DeAndre YedlinL,54.833333333333336,12.75,,
578,Duncan Watmore,62.833333333333336,14.0,,
579,Ethan Robson,55.5,10.25,,
580,Fabio Borini,75.33333333333333,11.5,,
581,George Honeyman,51.166666666666664,13.75,,
582,Jack Rodwell,70.0,12.75,,
583,Jan Kirchhoff,39.666666666666664,12.75,,
584,Jeremain Lens,75.66666666666667,17.25,,
585,Jermain Defoe,81.0,12.75,,
586,John O'Shea,35.333333333333336,14.0,,
587,Jordan Pickford,22.166666666666668,89.25,,
588,Jordi Gómez,72.33333333333333,14.0,,
589,Josh Robson,34.333333333333336,10.25,,
590,Lamine Koné,36.5,11.75,,
591,Lee Cattermole,60.0,15.0,,
592,Liam Agnew,54.0,15.5,,
593,Liam Bridcutt,45.666666666666664,15.75,,
