sofifa_id,short_name,long_name,player_positions,overall,club_team_id,club_name,league_name,league_level,shooting,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed
138412,J. Milner,James Philip Milner,"CM, RM, LM",80,9.0,Liverpool,English Premier League,1.0,76.0,1,1,1,1,1,
146536,Jesús Navas,Jesús Navas González,RM,80,10.0,Manchester City,English Premier League,1.0,70.0,10,10,15,7,13,
152554,G. Clichy,Gaël Dimitri Clichy,LB,80,10.0,Manchester City,English Premier League,1.0,43.0,10,11,9,11,6,
152908,A. Young,Ashley Young,"LM, LWB",80,11.0,Manchester United,English Premier League,1.0,74.0,16,10,15,16,15,
158626,M. Debuchy,Mathieu Debuchy,RB,80,1.0,Arsenal,English Premier League,1.0,65.0,8,9,7,15,10,
158810,G. Inler,Gökhan İnler,"CDM, CM",80,95.0,Leicester City,English Premier League,1.0,71.0,11,14,6,10,5,
162240,M. Dembélé,Mousa Sidi Yaya Dembélé,"CM, CDM",80,18.0,Tottenham Hotspur,English Premier League,1.0,72.0,16,14,11,16,14,
169596,R. Shawcross,Ryan Shawcross,CB,80,1806.0,Stoke City,English Premier League,1.0,44.0,10,12,7,13,15,
172175,K. Mirallas,Kevin Mirallas,"LM, RM",80,7.0,Everton,English Premier League,1.0,77.0,8,10,14,13,15,
177604,Nacho Monreal,Ignacio Monreal Eraso,"LB, CB",80,1.0,Arsenal,English Premier League,1.0,53.0,7,5,9,3,5,
178372,B. Ivanović,Branislav Ivanović,RB,80,5.0,Chelsea,English Premier League,1.0,61.0,15,9,13,11,13,
180819,A. Lallana,Adam David Lallana,"CAM, RW, LM",80,9.0,Liverpool,English Premier League,1.0,72.0,6,15,14,8,11,
181291,G. Wijnaldum,Georginio Wijnaldum,"CAM, CM",80,13.0,Newcastle United,English Premier League,1.0,75.0,16,6,14,12,6,
184943,Ramires,Ramires Santos do Nascimento,"CDM, CM",80,5.0,Chelsea,English Premier League,1.0,69.0,12,6,9,12,9,
186115,K. Gibbs,Kieran Gibbs,LB,80,1.0,Arsenal,English Premier League,1.0,57.0,6,11,8,9,15,
188253,J. McCarthy,James Patrick McCarthy,"CDM, CM",80,7.0,Everton,English Premier League,1.0,67.0,12,11,8,10,13,
189250,S. Rondón,José Salomón Rondón Giménez,ST,80,109.0,West Bromwich Albion,English Premier League,1.0,78.0,13,13,7,5,14,
190531,E. Mangala,Eliaquim Mangala,CB,80,10.0,Manchester City,English Premier League,1.0,41.0,10,13,6,10,14,
190815,D. Blind,Daley Blind,"CDM, LB, CM",80,11.0,Manchester United,English Premier League,1.0,55.0,12,9,10,14,10,
192505,R. Lukaku,Romelu Lukaku Menama,ST,80,7.0,Everton,English Premier League,1.0,80.0,8,15,14,7,10,
193348,X. Shaqiri,Xherdan Shaqiri,"RM, CAM, LM",80,1806.0,Stoke City,English Premier League,1.0,77.0,13,12,12,11,11,
194957,P. Jones,Phil Jones,"CB, RB",80,11.0,Manchester United,English Premier League,1.0,56.0,10,8,6,16,11,
6826,G. Barry,Gareth Barry,CDM,79,7.0,Everton,English Premier League,1.0,65.0,7,13,9,7,12,
48745,F. Coloccini,Fabricio Coloccini,CB,79,13.0,Newcastle United,English Premier League,1.0,53.0,11,16,14,16,6,
50542,J. Defoe,Jermain Colin Defoe,ST,79,106.0,Sunderland,English Premier League,1.0,85.0,7,14,8,10,13,
157503,A. Song,Alexandre Dimitri Song-Billong,"CDM, CM",79,19.0,West Ham United,English Premier League,1.0,57.0,8,12,15,11,12,
163155,B. Foster,Ben Foster,GK,79,109.0,West Bromwich Albion,English Premier League,1.0,,81,78,73,77,84,49.0
163418,Y. Kaboul,Younès Kaboul,CB,79,106.0,Sunderland,English Premier League,1.0,44.0,9,14,7,9,6,
163419,B. Sagna,Bacary Sagna,RB,79,10.0,Manchester City,English Premier League,1.0,53.0,11,9,7,9,9,
167905,A. Valencia,Luis Antonio Valencia Mosquera,"RM, RB, RWB",79,11.0,Manchester United,English Premier League,1.0,68.0,16,11,10,7,7,
167943,Y. Cabaye,Yohan Cabaye,"CDM, CM",79,1799.0,Crystal Palace,English Premier League,1.0,76.0,14,9,16,8,12,
169721,M. Richards,Micah Richards,"CB, RB",79,2.0,Aston Villa,English Premier League,1.0,51.0,7,16,15,16,8,
170368,E. Lamela,Erik Lamela,"RM, CAM",79,18.0,Tottenham Hotspur,English Premier League,1.0,77.0,10,15,11,8,13,
170597,T. Krul,Tim Krul,GK,79,13.0,Newcastle United,English Premier League,1.0,,81,78,73,75,84,42.0
176266,Lucas Leiva,Lucas Pezzini Leiva,"CDM, CM",79,9.0,Liverpool,English Premier League,1.0,40.0,10,8,8,5,6,
176571,A. Ayew,André Ayew Pelé,"LM, CM",79,1960.0,Swansea City,English Premier League,1.0,73.0,10,6,12,7,15,
178416,J. Lens,Jeremain Marciano Lens,LW,79,106.0,Sunderland,English Premier League,1.0,76.0,16,16,14,15,6,
182945,M. Gradel,Max-Alain Gradel,"LW, RW, ST",79,1943.0,AFC Bournemouth,English Premier League,1.0,74.0,11,12,8,10,12,
183711,J. Henderson,Jordan Henderson,"CM, CDM, RM",79,9.0,Liverpool,English Premier League,1.0,70.0,7,13,7,9,13,
183855,A. Ogbonna,Angelo Obinze Ogbonna,CB,79,19.0,West Ham United,English Premier League,1.0,40.0,5,3,5,4,4,
185103,A. Kolarov,Aleksandar Kolarov,LB,79,10.0,Manchester City,English Premier League,1.0,69.0,16,15,8,16,6,
186146,D. Welbeck,Daniel Nii Tackie Mensah Welbeck,"ST, LM",79,1.0,Arsenal,English Premier League,1.0,76.0,9,10,6,12,16,
188377,K. Walker,Kyle Walker,RB,79,18.0,Tottenham Hotspur,English Premier League,1.0,63.0,12,6,16,15,8,
189881,C. Smalling,Chris Smalling,"CB, RB",79,11.0,Manchester United,English Premier League,1.0,26.0,10,15,16,15,15,
195086,D. Lovren,Dejan Lovren,CB,79,9.0,Liverpool,English Premier League,1.0,40.0,14,14,13,10,7,
198784,A. Oxlade-Chamberlain,Alex Oxlade-Chamberlain,"RM, RW",79,1.0,Arsenal,English Premier League,1.0,72.0,16,9,6,9,9,
199189,R. Barkley,Ross Barkley,"CAM, LM",79,7.0,Everton,English Premier League,1.0,72.0,9,14,12,6,10,
199434,D. Tadić,Dušan Tadić,"LM, RM, CAM",79,17.0,Southampton,English Premier League,1.0,69.0,11,11,14,9,16,
200529,N. Chadli,Nacer Chadli,"LM, LW",79,18.0,Tottenham Hotspur,English Premier League,1.0,76.0,12,11,12,10,13,
119152,K. Touré,Kolo Habib Touré,CB,78,9.0,Liverpool,English Premier League,1.0,61.0,7,12,8,14,15,
137785,R. Huth,Robert Huth,CB,78,95.0,Leicester City,English Premier League,1.0,54.0,9,16,10,15,9,
139062,W. Caballero,Wilfredo Daniel Caballero,GK,78,10.0,Manchester City,English Premier League,1.0,,80,72,69,81,82,52.0
157665,S. Dann,Scott Dann,CB,78,1799.0,Crystal Palace,English Premier League,1.0,37.0,6,10,15,7,9,
164505,B. Guzan,Bradley Guzan,GK,78,2.0,Aston Villa,English Premier League,1.0,,80,76,64,77,81,48.0
164835,Ł. Fabiański,Łukasz Fabiański,GK,78,1960.0,Swansea City,English Premier League,1.0,,77,80,73,78,84,48.0
165740,A. Johnson,Adam Johnson,"RM, LM",78,106.0,Sunderland,English Premier League,1.0,75.0,9,6,14,14,10,
169588,J. Evans,Jonathan Grant Evans,CB,78,109.0,West Bromwich Albion,English Premier League,1.0,32.0,12,16,16,15,8,
169705,R. Bertrand,Ryan Bertrand,LB,78,17.0,Southampton,English Premier League,1.0,46.0,11,13,15,10,15,
170783,C. Tioté,Cheik Ismaël Tioté,"CDM, CM",78,13.0,Newcastle United,English Premier League,1.0,57.0,6,6,12,9,9,
173426,S. Mignolet,Simon Luc Hildebert Mignolet,GK,78,9.0,Liverpool,English Premier League,1.0,,82,75,65,73,84,57.0
176285,W. Reid,Winston Wiremu Reid,CB,78,19.0,West Ham United,English Premier League,1.0,53.0,13,15,9,10,12,
176550,D. Ospina,David Ospina Ramírez,GK,78,1.0,Arsenal,English Premier League,1.0,,83,71,78,77,84,34.0
176944,M. Fellaini,Marouane Fellaini-Bakkioui,"CM, CDM",78,11.0,Manchester United,English Premier League,1.0,72.0,8,6,9,15,16,
177765,P. Cissé,Papiss Demba Cissé,ST,78,13.0,Newcastle United,English Premier League,1.0,80.0,8,10,12,13,12,
179544,Y. Mulumbu,Youssouf Chafiq Mulumbu Ngangu,"CDM, CM",78,1792.0,Norwich City,English Premier League,1.0,63.0,16,15,14,12,12,
179847,F. Fazio,Federico Julián Fazio,CB,78,18.0,Tottenham Hotspur,English Premier League,1.0,42.0,8,9,12,11,14,
182836,A. Carroll,Andy Carroll,ST,78,19.0,West Ham United,English Premier League,1.0,79.0,14,14,12,10,6,
183394,M. Sissoko,Moussa Sissoko,"CAM, CM, RM",78,13.0,Newcastle United,English Premier League,1.0,74.0,14,8,11,10,8,
183893,C. Yacob,Claudio Ariel Yacob,"CDM, CM",78,109.0,West Bromwich Albion,English Premier League,1.0,59.0,6,6,12,9,8,
184134,Fernando,Fernando Francisco Reges,"CDM, CM",78,10.0,Manchester City,English Premier League,1.0,61.0,1,1,1,1,1,
184200,M. Arnautović,Marko Arnautović,"LM, RM",78,1806.0,Stoke City,English Premier League,1.0,71.0,14,15,10,10,15,
184484,G. Sigurðsson,Gylfi Þór Sigurðsson,"CAM, LM",78,1960.0,Swansea City,English Premier League,1.0,80.0,13,8,10,15,12,
187052,Y. M'Vila,Yann Gérard M'Vila,"CDM, CM",78,106.0,Sunderland,English Premier League,1.0,60.0,13,9,16,15,7,
187084,M. Diouf,Mame Biram Diouf,"ST, RM",78,1806.0,Stoke City,English Premier League,1.0,77.0,1,1,1,1,1,
189271,F. Coquelin,Francis Coquelin,"CDM, CM",78,1.0,Arsenal,English Premier League,1.0,54.0,9,9,8,10,15,
194365,S. Okazaki,岡崎 慎司,ST,78,95.0,Leicester City,English Premier League,1.0,77.0,10,6,14,6,6,
194911,Adrián,Adrián San Miguel del Castillo,GK,78,19.0,West Ham United,English Premier League,1.0,,78,76,71,76,85,45.0
199422,J. Clasie,Jordy Clasie,CDM,78,17.0,Southampton,English Premier League,1.0,51.0,11,11,14,10,7,
201118,Cédric,Cédric Ricardo Alves Soares,RB,78,17.0,Southampton,English Premier League,1.0,68.0,11,14,12,12,11,
201305,Gabriel,Gabriel Armando de Abreu,CB,78,1.0,Arsenal,English Premier League,1.0,54.0,15,6,15,15,7,
201508,G. Ramírez,Gastón Exequiel Ramírez Pereyra,"CAM, RM",78,17.0,Southampton,English Premier League,1.0,75.0,14,15,7,7,8,
201988,F. Fernández,Federico Fernández,CB,78,1960.0,Swansea City,English Premier League,1.0,28.0,12,12,13,14,12,
202126,H. Kane,Harry Kane,"ST, CF",78,18.0,Tottenham Hotspur,English Premier League,1.0,78.0,8,10,11,14,11,
202477,Deulofeu,Gerard Deulofeu Lázaro,"RM, RW",78,7.0,Everton,English Premier League,1.0,69.0,12,16,14,11,11,
204550,V. Ibarbo,Segundo Víctor Ibarbo Guerrero,"RW, LW",78,1795.0,Watford,English Premier League,1.0,71.0,4,4,4,4,4,
205988,L. Shaw,Luke Shaw,LB,78,11.0,Manchester United,English Premier League,1.0,40.0,10,12,13,7,7,
208722,S. Mané,Sadio Mané,"CF, LM, LW, RM",78,17.0,Southampton,English Premier League,1.0,73.0,10,10,15,7,14,
209620,A. Baba,Abdul Rahman Baba,"LB, LM",78,5.0,Chelsea,English Premier League,1.0,50.0,12,11,6,11,10,
2147,M. Stekelenburg,Maarten Stekelenburg,GK,77,17.0,Southampton,English Premier League,1.0,,81,75,82,76,79,41.0
26992,S. Distin,Sylvain Distin,CB,77,1943.0,AFC Bournemouth,English Premier League,1.0,36.0,9,8,15,6,6,
45842,J. Olsson,Jonas Olsson,CB,77,109.0,West Bromwich Albion,English Premier League,1.0,56.0,9,12,16,14,11,
49212,J. Speroni,Julián Speroni,GK,77,1799.0,Crystal Palace,English Premier League,1.0,,80,72,71,74,82,43.0
50327,S. Pienaar,Steven Pienaar,LM,77,7.0,Everton,English Premier League,1.0,70.0,9,16,12,11,11,
137782,G. Johnson,Glen Johnson,"RB, LB",77,1806.0,Stoke City,English Premier League,1.0,65.0,13,7,7,6,7,
140415,L. Britton,Leon Britton,"CM, CDM",77,1960.0,Swansea City,English Premier League,1.0,53.0,10,16,7,7,15,
159145,B. Gomis,Bafétimbi Fredius Gomis,ST,77,1960.0,Swansea City,English Premier League,1.0,80.0,14,11,9,9,13,
163699,S. Sessègnon,Stéphane Sessègnon,"CAM, RM, LM",77,109.0,West Bromwich Albion,English Premier League,1.0,72.0,7,14,13,11,11,
164376,G. Pellè,Graziano Pellè,ST,77,17.0,Southampton,English Premier League,1.0,77.0,15,12,14,13,9,
164477,J. Mikel,John Obi Mikel,CDM,77,5.0,Chelsea,English Premier League,1.0,54.0,14,9,16,14,14,
169595,D. Rose,Danny Rose,LB,77,18.0,Tottenham Hotspur,English Premier League,1.0,62.0,10,11,8,13,13,
169607,L. Cattermole,Lee Cattermole,"CDM, CM",77,106.0,Sunderland,English Premier League,1.0,58.0,11,9,15,14,15,
169706,J. Cork,Jack Cork,"CDM, CM",77,1960.0,Swansea City,English Premier League,1.0,53.0,13,11,16,6,6,
169792,J. Rodriguez,Jay Rodriguez,"LM, ST",77,17.0,Southampton,English Premier League,1.0,77.0,12,12,16,14,9,
178213,E. Capoue,Etienne Capoue,"CDM, CB, CM",77,1795.0,Watford,English Premier League,1.0,63.0,12,11,11,14,12,
180283,Ki Sung Yueng,기성용 寄诚庸,"CM, CDM",77,1960.0,Swansea City,English Premier League,1.0,74.0,14,9,7,9,10,
182744,J. Holebas,José Holebas,"LB, LM",77,1795.0,Watford,English Premier League,1.0,70.0,15,13,13,14,16,
182882,C. Sánchez,Carlos Alberto Sánchez Moreno,"CDM, CM",77,2.0,Aston Villa,English Premier League,1.0,58.0,11,6,7,13,7,
183129,C. Clark,Ciaran Clark,CB,77,2.0,Aston Villa,English Premier League,1.0,56.0,14,7,12,14,12,
183427,F. Delph,Fabian Delph,"CM, CDM",77,10.0,Manchester City,English Premier League,1.0,69.0,10,9,14,11,6,
184716,J. Allen,Joseph Michael Allen,"CM, CDM",77,9.0,Liverpool,English Premier League,1.0,59.0,10,13,12,6,8,
186452,S. de Jong,Siem Stefan de Jong,"CAM, ST",77,13.0,Newcastle United,English Premier League,1.0,79.0,10,11,14,16,10,
186672,G. Cameron,Geoff Cameron,"CB, RB, CDM",77,1806.0,Stoke City,English Premier League,1.0,55.0,7,16,6,10,14,
186805,J. Montero,Jefferson Antonio Montero Vite,"LW, LM",77,1960.0,Swansea City,English Premier League,1.0,71.0,11,11,12,15,12,
188155,D. Janmaat,Daryl Janmaat,RB,77,13.0,Newcastle United,English Premier League,1.0,63.0,15,10,7,11,7,
188942,V. Wanyama,Victor Wanyama,"CDM, CM",77,17.0,Southampton,English Premier League,1.0,66.0,6,14,10,13,16,
189165,J. Shelvey,Jonjo Shelvey,"CM, CDM, CAM",77,1960.0,Swansea City,English Premier League,1.0,75.0,14,11,15,8,16,
189725,T. Cleverley,Tom Cleverley,"CM, CDM, CAM",77,7.0,Everton,English Premier League,1.0,69.0,15,11,9,12,13,
192667,A. Nyom,Allan-Roméo Nyom,RB,77,1795.0,Watford,English Premier League,1.0,47.0,12,8,9,9,14,
193504,S. Caulker,Steven Caulker,CB,77,17.0,Southampton,English Premier League,1.0,32.0,14,15,7,7,15,
198717,W. Zaha,Wilfried Zaha,"RW, RM, LM",77,1799.0,Crystal Palace,English Premier League,1.0,69.0,15,10,15,11,10,
203042,J. Butland,Jack Butland,GK,77,1806.0,Stoke City,English Premier League,1.0,,79,76,75,77,83,49.0
203574,J. Stones,John Stones,"CB, RB",77,7.0,Everton,English Premier League,1.0,36.0,7,15,11,10,8,
204163,J. Okore,Tetchi Jores Charlemagne Ulrich Okore,CB,77,2.0,Aston Villa,English Premier League,1.0,41.0,9,15,16,15,15,
204311,K. Zouma,Kurt Happy Zouma,"CB, RB",77,5.0,Chelsea,English Premier League,1.0,50.0,14,14,7,9,15,
205566,Alberto Moreno,Alberto Moreno Pérez,"LB, LM, LWB",77,9.0,Liverpool,English Premier League,1.0,66.0,10,14,9,10,11,
209997,K. Wimmer,Kevin Wimmer,CB,77,18.0,Tottenham Hotspur,English Premier League,1.0,27.0,13,10,15,12,11,
210897,C. Mbemba,Chancel Mbemba Mangulu,CB,77,13.0,Newcastle United,English Premier League,1.0,56.0,9,14,16,7,7,
51257,P. Crouch,Peter Crouch,ST,76,1806.0,Stoke City,English Premier League,1.0,76.0,13,14,7,10,14,
54051,W. Routledge,Wayne Routledge,"LM, LW",76,1960.0,Swansea City,English Premier League,1.0,66.0,15,11,8,10,15,
105846,A. Boruc,Artur Boruc,GK,76,1943.0,AFC Bournemouth,English Premier League,1.0,,82,72,62,74,83,44.0
122849,A. Koné,Arouna Koné,ST,76,7.0,Everton,English Premier League,1.0,75.0,10,6,7,12,7,
149791,W. Hoolahan,Wesley Hoolahan,"CAM, LM",76,1792.0,Norwich City,English Premier League,1.0,68.0,13,7,16,11,16,
151508,S. Davis,Steven Davis,"CM, RM",76,17.0,Southampton,English Premier League,1.0,61.0,9,7,13,9,11,
152879,M. Noble,Mark Noble,"CM, CDM",76,19.0,West Ham United,English Premier League,1.0,65.0,7,6,14,16,11,
153177,M. Zárate,Mauro Matías Zárate,"ST, CF",76,19.0,West Ham United,English Premier League,1.0,79.0,7,16,16,6,12,
153938,Àngel Rangel,Àngel Rangel Zaragoza,RB,76,1960.0,Swansea City,English Premier League,1.0,59.0,13,16,8,6,6,
155885,A. McGeady,Aiden John McGeady,"RM, RW",76,7.0,Everton,English Premier League,1.0,68.0,10,9,12,13,6,
156722,M. Flamini,Mathieu Flamini,"CDM, CM",76,1.0,Arsenal,English Premier League,1.0,65.0,7,12,6,6,7,
158372,I. Afellay,Ibrahim Afellay,"LM, CAM, CM",76,1806.0,Stoke City,English Premier League,1.0,74.0,14,7,10,12,8,
159034,S. Taylor,Steven Vincent Taylor,CB,76,13.0,Newcastle United,English Premier League,1.0,34.0,15,12,8,14,6,
161805,V. Behrami,Valon Behrami,"CDM, CM",76,1795.0,Watford,English Premier League,1.0,64.0,12,11,7,15,11,
163209,S. Naismith,Steven John Naismith,"CAM, RM, CF",76,7.0,Everton,English Premier League,1.0,74.0,12,11,8,9,16,
